,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
127,olecko,100.0,PL,1576994237.0,95.0,54.04,22.49,40.68,9.62
128,bethel,40.0,US,1576994238.0,84.0,60.79,-161.76,3.2,3.36
129,santa cruz de la palma,75.0,ES,1576994239.0,68.0,28.68,-17.76,64.4,9.17
130,kuryk,100.0,KZ,1576994240.0,73.0,43.18,51.68,42.85,21.72
131,bahar,94.0,IR,1576994240.0,79.0,34.91,48.44,21.2,4.7
132,high level,90.0,CA,1576994241.0,91.0,58.52,-117.13,3.2,6.93
133,necochea,0.0,AR,1576994242.0,86.0,-38.55,-58.74,55.0,7.0
134,nanortalik,92.0,GL,1576994243.0,54.0,60.14,-45.24,27.48,5.97
135,sitka,0.0,US,1576994065.0,59.0,37.17,-99.65,33.01,4.0
136,westport,20.0,US,1576994163.0,65.0,41.14,-73.36,33.01,10.29
137,waipawa,5.0,NZ,1576994245.0,52.0,-39.94,176.59,69.01,1.01
138,escanaba,1.0,US,1576994245.0,69.0,45.75,-87.06,37.4,13.87
139,coquimbo,0.0,CL,1576994246.0,93.0,-29.95,-71.34,57.2,1.12
140,rio tercero,35.0,AR,1576994247.0,34.0,-32.17,-64.11,61.09,5.23
141,elat,64.0,CM,1576994248.0,94.0,2.91,11.16,69.53,1.3
142,nandi,40.0,IN,1576994248.0,68.0,13.39,77.7,79.0,8.05
143,mabamba,29.0,TZ,1576994249.0,84.0,-3.6,30.5,68.7,0.69
144,plettenberg bay,3.0,ZA,1576994250.0,66.0,-34.05,23.37,63.45,5.86
145,lebu,20.0,ET,1576994250.0,65.0,8.96,38.73,55.4,3.36
146,moron,45.0,HT,1576994251.0,77.0,18.56,-74.26,75.4,6.11
147,ancud,90.0,CL,1576994252.0,87.0,-41.87,-73.83,53.6,4.7
148,laufen,90.0,CH,1576994253.0,87.0,47.42,7.5,44.01,3.36
149,mar del plata,18.0,AR,1576994254.0,45.0,-46.43,-67.52,64.06,31.85
150,brora,90.0,GB,1576994254.0,100.0,58.01,-3.85,35.6,1.7
151,dunn,1.0,US,1576994255.0,60.0,35.31,-78.61,34.0,3.65
152,jizan,20.0,SA,1576994256.0,78.0,16.89,42.56,77.0,8.05
153,samana,71.0,EC,1576994257.0,90.0,0.12,-76.97,70.79,0.45
154,cherskiy,1.0,RU,1576994257.0,81.0,68.75,161.3,-26.7,10.67
155,port blair,40.0,IN,1576993980.0,74.0,11.67,92.75,84.2,13.87
156,bredasdorp,0.0,ZA,1576994259.0,63.0,-34.53,20.04,64.99,10.63
157,east london,40.0,ZA,1576994259.0,88.0,-33.02,27.91,64.4,6.93
158,ambovombe,0.0,MG,1576994260.0,49.0,-25.18,46.09,87.03,6.53
159,azare,45.0,NG,1576994262.0,23.0,11.67,10.19,57.97,6.69
160,college,100.0,US,1576994262.0,73.0,64.86,-147.8,-20.99,1.68
161,carnarvon,17.0,ZA,1576994263.0,47.0,-30.97,22.13,64.9,16.8
162,vidim,90.0,CZ,1576994264.0,100.0,50.47,14.53,39.0,3.36
163,wilmington,1.0,US,1576994041.0,85.0,39.75,-75.55,28.99,3.22
164,broome,90.0,GB,1576994265.0,93.0,52.47,1.45,46.99,11.41
165,agara,100.0,GE,1576994266.0,61.0,42.04,43.82,37.65,0.4
166,kutum,0.0,SD,1576994266.0,34.0,14.2,24.66,58.75,3.47
167,amboise,90.0,FR,1576994268.0,76.0,47.41,0.98,51.8,24.16
168,chuy,53.0,UY,1576994236.0,79.0,-33.69,-53.46,60.03,14.7
169,clyde river,75.0,CA,1576994270.0,64.0,70.47,-68.59,-2.2,4.7
170,bessonovka,97.0,RU,1576994271.0,61.0,53.31,45.04,30.0,13.4
171,kibala,40.0,TD,1576994271.0,82.0,9.11,18.35,62.6,3.94
172,honningsvag,50.0,NO,1576994272.0,76.0,70.98,25.97,31.33,8.12
173,chittaurgarh,0.0,IN,1576994273.0,30.0,24.88,74.62,69.78,11.3
174,eskil,68.0,TR,1576994274.0,60.0,38.4,33.41,44.06,11.18
175,port hardy,40.0,CA,1576994274.0,93.0,50.7,-127.42,37.4,5.82
176,te anau,51.0,NZ,1576994030.0,61.0,-45.41,167.72,51.22,10.22
177,lumbog,100.0,PH,1576994276.0,77.0,7.56,123.2,80.98,4.56
178,ust-ishim,99.0,RU,1576994276.0,94.0,57.69,71.17,10.26,6.35
179,eskisehir,49.0,TR,1576994167.0,100.0,39.78,30.52,33.8,9.17
180,rameswaram,61.0,IN,1576994278.0,75.0,9.28,79.3,80.58,18.14
181,sotouboua,30.0,TG,1576994279.0,26.0,8.56,0.98,69.8,3.22
182,tura,86.0,RU,1576994280.0,98.0,64.27,100.22,-21.5,2.51
183,khani,83.0,GE,1576994280.0,35.0,41.96,42.96,39.2,5.82
184,leningradskiy,100.0,RU,1576994282.0,87.0,69.38,178.42,0.68,15.59
185,guerrero negro,100.0,MX,1576994283.0,34.0,27.97,-114.04,61.41,4.9
186,harper,1.0,US,1576994283.0,58.0,30.3,-99.24,43.0,2.89
187,marion,100.0,US,1576994005.0,87.0,35.21,-90.2,48.2,4.7
188,genhe,1.0,CN,1576994285.0,79.0,50.78,121.52,-6.97,1.43
189,port elizabeth,1.0,US,1576994285.0,92.0,39.31,-74.98,30.0,3.8
190,taltal,10.0,CL,1576994286.0,86.0,-25.41,-70.49,56.19,1.61
191,bantva,0.0,IN,1576994116.0,41.0,21.49,70.07,78.8,11.41
192,narsaq,63.0,GL,1576994288.0,40.0,60.91,-46.05,37.4,14.99
193,kruisfontein,1.0,ZA,1576994288.0,57.0,-34.0,24.73,63.79,4.47
194,nouadhibou,0.0,MR,1576994289.0,39.0,20.93,-17.03,64.4,17.22
195,saint-pierre,75.0,FR,1576994290.0,100.0,48.95,4.24,48.2,18.34
196,thompson,90.0,CA,1576994290.0,84.0,55.74,-97.86,8.6,3.36
197,yaan,3.0,NG,1576994291.0,27.0,7.38,8.57,69.03,5.99
198,vanavara,99.0,RU,1576994292.0,97.0,60.35,102.28,-15.97,4.05
199,kysyl-syr,75.0,RU,1576994293.0,96.0,63.9,122.77,-34.01,4.99
200,craig,1.0,US,1576994294.0,92.0,40.52,-107.55,17.6,3.69
201,arlit,0.0,NE,1576994295.0,19.0,18.74,7.39,61.11,2.01
202,torbay,90.0,CA,1576994295.0,86.0,47.66,-52.73,28.99,6.93
203,sibolga,96.0,ID,1576994296.0,94.0,1.74,98.78,77.59,2.89
204,shu,100.0,KZ,1576994297.0,86.0,43.6,73.76,24.78,9.55
205,port hedland,8.0,AU,1576994297.0,56.0,-20.31,118.58,93.2,24.16
206,namatanai,56.0,PG,1576994298.0,70.0,-3.66,152.44,84.88,0.96
207,bonavista,94.0,CA,1576994299.0,89.0,48.65,-53.11,27.0,5.99
208,ostrovnoy,100.0,RU,1576994299.0,90.0,68.05,39.51,26.94,9.15
209,nongstoin,0.0,IN,1576994300.0,44.0,25.52,91.27,60.24,7.78
210,mogadishu,15.0,SO,1576994301.0,78.0,2.04,45.34,81.01,19.46
211,ocos,40.0,GT,1576994302.0,100.0,14.51,-92.19,71.6,2.42
212,ventspils,90.0,LV,1576994303.0,93.0,57.39,21.56,44.6,6.93
213,shache,0.0,CN,1576994304.0,90.0,38.42,77.24,28.0,1.79
214,vao,100.0,EE,1576994304.0,97.0,59.1,26.19,38.55,7.18
215,tongliao,98.0,CN,1576994305.0,75.0,43.61,122.27,18.34,2.08
216,husavik,75.0,CA,1576994306.0,94.0,50.56,-96.99,12.99,6.26
217,ilulissat,100.0,GL,1576994306.0,48.0,69.22,-51.1,19.4,6.93
218,lavrentiya,0.0,RU,1576994307.0,63.0,65.58,-170.99,1.29,7.34
219,ellsworth,1.0,US,1576994308.0,80.0,38.73,-98.23,35.6,11.41
220,champerico,40.0,MX,1576994309.0,73.0,16.38,-93.6,69.8,6.93
221,micheweni,79.0,TZ,1576994309.0,80.0,-4.97,39.83,81.25,8.72
222,lehi,1.0,US,1576994310.0,45.0,40.39,-111.85,44.6,13.87
223,finschhafen,67.0,PG,1576994311.0,72.0,-6.6,147.85,83.91,8.61
224,kalmunai,93.0,LK,1576994312.0,83.0,7.42,81.82,81.52,18.16
225,lagoa,90.0,PT,1576994312.0,100.0,37.14,-8.45,57.0,4.7
226,lorengau,100.0,PG,1576994313.0,73.0,-2.02,147.27,84.29,9.31
227,batagay-alyta,100.0,RU,1576994314.0,93.0,67.8,130.41,-17.52,5.46
228,rypefjord,98.0,NO,1576994316.0,85.0,70.63,23.67,23.0,17.22
229,brae,100.0,GB,1576994316.0,87.0,60.4,-1.35,46.4,11.41
230,endicott,1.0,US,1576994317.0,79.0,42.1,-76.05,24.01,6.93
231,mahajanga,20.0,MG,1576994318.0,62.0,-15.72,46.32,87.8,5.82
232,pyapon,100.0,MM,1576994319.0,46.0,16.29,95.68,87.31,3.47
233,kutulik,93.0,RU,1576994321.0,96.0,53.35,102.79,1.29,5.01
234,souillac,97.0,FR,1576994321.0,76.0,45.6,-0.6,53.01,26.4
235,singaparna,100.0,ID,1576994322.0,71.0,-7.35,108.11,81.75,6.46
236,nador,90.0,MA,1576994323.0,82.0,35.17,-2.93,64.4,10.29
237,doka,0.0,SD,1576994323.0,43.0,13.52,35.76,79.11,8.86
238,kalaleh,79.0,IR,1576994324.0,70.0,37.38,55.49,48.2,4.16
239,los llanos de aridane,75.0,ES,1576994325.0,68.0,28.66,-17.92,64.4,9.17
240,baiyin,0.0,CN,1576994325.0,21.0,36.55,104.13,35.6,6.71
241,nampula,75.0,MZ,1576994326.0,83.0,-15.12,39.26,75.2,3.36
242,rocha,84.0,UY,1576994327.0,84.0,-34.48,-54.34,58.26,17.45
243,paamiut,94.0,GL,1576994327.0,53.0,61.99,-49.67,33.08,7.29
244,katangli,16.0,RU,1576994328.0,90.0,51.71,143.23,-3.62,6.71
245,upernavik,0.0,GL,1576994329.0,77.0,72.79,-56.15,-0.87,8.97
246,wielun,100.0,PL,1576994330.0,95.0,51.22,18.57,42.01,3.0
247,maracacume,95.0,BR,1576994330.0,97.0,-2.04,-45.96,74.53,2.89
248,tiksi,100.0,RU,1576994331.0,99.0,71.64,128.87,-17.05,4.27
249,kahului,20.0,US,1576994332.0,100.0,20.89,-156.47,73.4,16.11
250,sao filipe,57.0,CV,1576994332.0,68.0,14.9,-24.5,71.4,15.52
251,kawalu,100.0,ID,1576994333.0,71.0,-7.38,108.21,81.75,6.46
252,tombouctou,1.0,ML,1576994334.0,16.0,16.77,-3.01,64.99,11.79
253,hamilton,20.0,CA,1576994334.0,86.0,43.26,-79.87,39.0,10.29
254,ondjiva,0.0,AO,1576994335.0,60.0,-17.07,15.73,76.21,3.49
255,talnakh,75.0,RU,1576994336.0,84.0,69.49,88.39,-0.4,22.37
256,gazojak,8.0,TM,1576994336.0,56.0,41.19,61.4,32.67,0.85
257,arona,100.0,IT,1576994337.0,100.0,45.76,8.56,46.99,3.36
258,damnoen saduak,8.0,TH,1576994338.0,46.0,13.52,99.95,100.99,2.28
259,touros,40.0,BR,1576994339.0,88.0,-5.2,-35.46,73.4,4.7
260,blagoyevo,100.0,RU,1576994339.0,93.0,63.37,47.92,21.42,9.24
261,murgab,18.0,TM,1576994340.0,74.0,37.5,61.97,37.4,6.93
262,beloha,0.0,MG,1576994341.0,42.0,-25.17,45.06,89.01,7.67
263,zhangye,30.0,CN,1576994341.0,11.0,38.94,100.46,38.35,5.73
264,isangel,40.0,VU,1576994342.0,65.0,-19.55,169.27,82.4,16.11
265,itarema,75.0,BR,1576994343.0,77.0,-2.92,-39.92,78.49,7.58
266,qaqortoq,49.0,GL,1576994343.0,40.0,60.72,-46.03,37.4,14.99
267,adelaide,98.0,AU,1576994302.0,38.0,-34.93,138.6,82.0,6.93
268,vaitape,100.0,PF,1576994054.0,76.0,-16.52,-151.75,80.08,10.51
269,morant bay,20.0,JM,1576994345.0,97.0,17.88,-76.41,78.8,8.05
270,farafangana,81.0,MG,1576994346.0,77.0,-22.82,47.83,80.29,16.69
271,gorom-gorom,0.0,BF,1576994347.0,17.0,14.45,-0.24,65.95,8.72
272,norman wells,5.0,CA,1576994348.0,73.0,65.28,-126.83,-36.4,4.7
273,samarai,91.0,PG,1576994349.0,87.0,-10.62,150.67,79.83,7.61
274,iqaluit,5.0,CA,1576994350.0,76.0,63.75,-68.52,-7.01,4.7
275,mecca,0.0,SA,1576994350.0,40.0,21.43,39.83,75.63,0.58
276,bauta,20.0,CU,1576994351.0,94.0,22.98,-82.55,73.4,8.05
277,lasa,20.0,CY,1576994352.0,81.0,34.92,32.53,53.6,9.17
278,imbituba,75.0,BR,1576994353.0,88.0,-28.24,-48.67,75.2,5.82
279,pangnirtung,62.0,CA,1576994354.0,76.0,66.15,-65.72,-10.64,1.57
280,aasiaat,61.0,GL,1576994354.0,79.0,68.71,-52.87,6.33,9.22
281,toma,0.0,BF,1576994355.0,16.0,12.76,-2.9,66.87,9.84
282,henties bay,25.0,NA,1576994356.0,92.0,-22.12,14.28,60.01,3.0
283,phra phutthabat,4.0,TH,1576994357.0,44.0,14.72,100.8,102.99,5.64
284,turochak,100.0,RU,1576994357.0,91.0,52.26,87.12,28.13,4.34
285,longyearbyen,20.0,NO,1576994358.0,62.0,78.22,15.63,21.2,20.8
286,provideniya,0.0,RU,1576994359.0,70.0,64.42,-173.23,3.94,3.58
287,semey,94.0,KZ,1576994359.0,73.0,50.41,80.25,26.6,22.37
288,codrington,90.0,AU,1576994360.0,69.0,-28.95,153.24,82.4,17.22
289,tuatapere,43.0,NZ,1576994361.0,72.0,-46.13,167.69,57.99,17.0
290,sydney,75.0,AU,1576994300.0,72.0,-33.85,151.22,70.0,18.34
291,wewak,73.0,PG,1576994363.0,77.0,-3.55,143.63,83.01,7.65
292,sao joao da barra,100.0,BR,1576994363.0,86.0,-21.64,-41.05,76.28,17.47
